mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy
0.49993790899004253,0.014347787003228243,0.03182363510131836,0.006851999955232847,35,10,2,150,"{'max_depth': 35, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 150}",0.4461538461538461,0.4626865671641791,0.3968253968253968,0.462686567164179,0.45454545454545453,0.43076923076923085,0.44274809160305345,0.44234502203219145,0.02137125004306823,353,0.9832300810421306,0.977128525707013,0.9826873046472889,0.9798908199643493,0.9814691027926322,0.9776997920380274,0.978869578134284,0.9801393149036751,0.002220152101706126,360,0.8857142857142857,0.8857142857142857,0.8793650793650793,0.8857142857142857,0.8857142857142857,0.8825396825396825,0.8841269841269841,0.8841269841269843,0.002244783432338238,345
0.648395163672311,0.019985038796483143,0.04102213042122977,0.009519954442786556,35,10,2,200,"{'max_depth': 35, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 200}",0.4461538461538461,0.4626865671641791,0.4094488188976378,0.462686567164179,0.46616541353383456,0.45454545454545453,0.39370078740157477,0.44219820783724373,0.02674374833574262,369,0.9834359617436224,0.9769226450055213,0.9831552153324974,0.9794080510992276,0.9822118241235889,0.9780897207367796,0.9794266191325014,0.9803785767391054,0.002373923520427812,336,0.8857142857142857,0.8857142857142857,0.8809523809523809,0.8857142857142857,0.8873015873015873,0.8857142857142857,0.8777777777777778,0.8841269841269843,0.0031746031746031633,345
0.1623190471104213,0.009373565084249733,0.012729440416608537,0.004934476567422816,35,10,5,50,"{'max_depth': 35, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 50}",0.4094488188976378,0.4626865671641791,0.3442622950819672,0.5035971223021583,0.4740740740740741,0.44274809160305345,0.43939393939393934,0.4394587012167156,0.04754737173875743,393,0.9820883789702222,0.974339778023171,0.9798424076812218,0.9759358288770054,0.9805964052287581,0.9743575460487226,0.9771613190730838,0.9777602377003121,0.0028804045074671035,413,0.8809523809523809,0.8857142857142857,0.873015873015873,0.8904761904761904,0.8873015873015873,0.8841269841269841,0.8825396825396825,0.8834467120181407,0.00515093727510227,393
0.3247189862387521,0.010522098715366414,0.019644737243652344,0.003056072251772481,35,10,5,100,"{'max_depth': 35, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.421875,0.4852941176470588,0.384,0.462686567164179,0.44274809160305345,0.44274809160305345,0.4186046511627907,0.43685093131144787,0.030317843825677725,409,0.9827247375021055,0.9768852121507046,0.9818824982687304,0.9785724896019015,0.980187908496732,0.9763071895424835,0.9786653297682709,0.9793179093329897,0.002233013755620897,388,0.8825396825396825,0.8888888888888888,0.8777777777777778,0.8857142857142857,0.8841269841269841,0.8841269841269841,0.8809523809523809,0.8834467120181407,0.0032703412929378467,393
0.47788303239004953,0.02906366789468806,0.03453574861798968,0.009556175427974094,35,10,5,150,"{'max_depth': 35, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 150}",0.4461538461538461,0.4626865671641791,0.3968253968253968,0.462686567164179,0.45454545454545453,0.43076923076923085,0.44274809160305345,0.44234502203219145,0.02137125004306823,353,0.9832300810421306,0.977128525707013,0.9826873046472889,0.9798908199643493,0.9814691027926322,0.9776997920380274,0.978869578134284,0.9801393149036751,0.002220152101706126,360,0.8857142857142857,0.8857142857142857,0.8793650793650793,0.8857142857142857,0.8857142857142857,0.8825396825396825,0.8841269841269841,0.8841269841269843,0.002244783432338238,345
0.6472788538251605,0.020044483763972366,0.040995972497122626,0.005787516944861064,35,10,5,200,"{'max_depth': 35, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 200}",0.4461538461538461,0.4626865671641791,0.4094488188976378,0.462686567164179,0.46616541353383456,0.45454545454545453,0.39370078740157477,0.44219820783724373,0.02674374833574262,369,0.9834359617436224,0.9769226450055213,0.9831552153324974,0.9794080510992276,0.9822118241235889,0.9780897207367796,0.9794266191325014,0.9803785767391054,0.002373923520427812,336,0.8857142857142857,0.8857142857142857,0.8809523809523809,0.8857142857142857,0.8873015873015873,0.8857142857142857,0.8777777777777778,0.8841269841269843,0.0031746031746031633,345
0.16787382534572057,0.017732769568248093,0.011633668627057756,0.0029703442418714367,35,10,10,50,"{'max_depth': 35, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 50}",0.4094488188976378,0.4626865671641791,0.3442622950819672,0.5035971223021583,0.4740740740740741,0.44274809160305345,0.43939393939393934,0.4394587012167156,0.04754737173875743,393,0.9820883789702222,0.974339778023171,0.9798424076812218,0.9759358288770054,0.9805964052287581,0.9743575460487226,0.9771613190730838,0.9777602377003121,0.0028804045074671035,413,0.8809523809523809,0.8857142857142857,0.873015873015873,0.8904761904761904,0.8873015873015873,0.8841269841269841,0.8825396825396825,0.8834467120181407,0.00515093727510227,393
0.31345231192452566,0.01137742312609692,0.02159074374607631,0.0013033762062645122,35,10,10,100,"{'max_depth': 35, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.421875,0.4852941176470588,0.384,0.462686567164179,0.44274809160305345,0.44274809160305345,0.4186046511627907,0.43685093131144787,0.030317843825677725,409,0.9827247375021055,0.9768852121507046,0.9818824982687304,0.9785724896019015,0.980187908496732,0.9763071895424835,0.9786653297682709,0.9793179093329897,0.002233013755620897,388,0.8825396825396825,0.8888888888888888,0.8777777777777778,0.8857142857142857,0.8841269841269841,0.8841269841269841,0.8809523809523809,0.8834467120181407,0.0032703412929378467,393
0.48699051993233816,0.016756799774104117,0.0281088011605399,0.002517558905854545,35,10,10,150,"{'max_depth': 35, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 150}",0.4461538461538461,0.4626865671641791,0.3968253968253968,0.462686567164179,0.45454545454545453,0.43076923076923085,0.44274809160305345,0.44234502203219145,0.02137125004306823,353,0.9832300810421306,0.977128525707013,0.9826873046472889,0.9798908199643493,0.9814691027926322,0.9776997920380274,0.978869578134284,0.9801393149036751,0.002220152101706126,360,0.8857142857142857,0.8857142857142857,0.8793650793650793,0.8857142857142857,0.8857142857142857,0.8825396825396825,0.8841269841269841,0.8841269841269843,0.002244783432338238,345
0.6322880131857735,0.012017568815280159,0.037796122687203546,0.0028795183812512933,35,10,10,200,"{'max_depth': 35, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.4461538461538461,0.4626865671641791,0.4094488188976378,0.462686567164179,0.46616541353383456,0.45454545454545453,0.39370078740157477,0.44219820783724373,0.02674374833574262,369,0.9834359617436224,0.9769226450055213,0.9831552153324974,0.9794080510992276,0.9822118241235889,0.9780897207367796,0.9794266191325014,0.9803785767391054,0.002373923520427812,336,0.8857142857142857,0.8857142857142857,0.8809523809523809,0.8857142857142857,0.8873015873015873,0.8857142857142857,0.8777777777777778,0.8841269841269843,0.0031746031746031633,345
